,degree,coeff_name,coeff_value,std_error,CI_lower,CI_upper
0,5.0,b1,0.4339,0.0012,0.4315,0.4363
1,5.0,b2,2.6694,0.0786,2.5152,2.8235
2,5.0,b3,1.1173,0.0703,0.9795,1.2551
3,5.0,b4,-11.3454,0.3634,-12.0577,-10.633
4,5.0,b5,-3.7816,0.2038,-4.181,-3.3823
5,5.0,b6,-2.6626,0.3478,-3.3443,-1.9808
6,5.0,b7,14.5755,0.7449,13.1154,16.0356
7,5.0,b8,10.1265,0.406,9.3308,10.9222
8,5.0,b9,4.0219,0.361,3.3143,4.7295
9,5.0,b10,-1.6516,0.7319,-3.0862,-0.217
10,5.0,b11,-6.2814,0.7215,-7.6957,-4.8672
11,5.0,b12,-10.6525,0.405,-11.4464,-9.8586
12,5.0,b13,-2.0149,0.3161,-2.6346,-1.3953
13,5.0,b14,-4.6669,0.3472,-5.3474,-3.9865
14,5.0,b15,6.7667,0.711,5.3731,8.1602
15,5.0,b16,0.1699,0.2671,-0.3537,0.6935
16,5.0,b17,3.3956,0.1688,3.0648,3.7265
17,5.0,b18,1.876,0.1365,1.6084,2.1436
18,5.0,b19,-0.6616,0.123,-0.9028,-0.4204
19,5.0,b20,2.3806,0.1419,2.1025,2.6587
20,5.0,b21,-3.6756,0.2609,-4.1869,-3.1643
