,degree,coeff name,coeff value,std error,CI lower,CI upper
0,8.0,$\beta$0,-1.8787,0.1174,-2.1089,-1.6486
1,8.0,$\beta$1,-2.0903,0.1171,-2.3199,-1.8607
2,8.0,$\beta$2,-4.5256,0.3946,-5.299,-3.7522
3,8.0,$\beta$3,10.8083,0.2269,10.3635,11.253
4,8.0,$\beta$4,1.2816,0.3948,0.5079,2.0554
5,8.0,$\beta$5,8.6668,0.5155,7.6565,9.6771
6,8.0,$\beta$6,-6.4249,0.2738,-6.9615,-5.8883
7,8.0,$\beta$7,-9.203,0.2729,-9.7378,-8.6681
8,8.0,$\beta$8,2.0116,0.5164,0.9993,3.0238
9,8.0,$\beta$9,-2.2425,0.2356,-2.7042,-1.7808
10,8.0,$\beta$10,-4.8049,0.1373,-5.0741,-4.5358
11,8.0,$\beta$11,10.2044,0.1253,9.9587,10.45
12,8.0,$\beta$12,-1.1912,0.1371,-1.4599,-0.9225
13,8.0,$\beta$13,-1.2802,0.2361,-1.743,-0.8174
14,8.0,$\beta$14,0.0178,0.0043,0.0093,0.0262
15,8.0,$\beta$15,0.0047,0.0043,-0.0037,0.0131
16,8.0,$\beta$16,-0.011,0.0043,-0.0194,-0.0026
17,8.0,$\beta$17,-0.0525,0.0043,-0.0609,-0.0441
18,8.0,$\beta$18,-0.0075,0.0043,-0.0158,0.0009
19,8.0,$\beta$19,-0.0117,0.0043,-0.0201,-0.0033
20,8.0,$\beta$20,-0.0049,0.0043,-0.0134,0.0036
21,8.0,$\beta$21,0.0028,0.0042,-0.0055,0.0111
22,8.0,$\beta$22,0.0077,0.0042,-0.0007,0.016
23,8.0,$\beta$23,0.0004,0.0042,-0.0079,0.0087
24,8.0,$\beta$24,-0.0063,0.0042,-0.0146,0.0021
25,8.0,$\beta$25,0.0023,0.0042,-0.006,0.0106
26,8.0,$\beta$26,0.0277,0.0043,0.0192,0.0362
27,8.0,$\beta$27,-0.004,0.0043,-0.0125,0.0045
28,8.0,$\beta$28,0.0006,0.0042,-0.0077,0.0089
29,8.0,$\beta$29,0.0035,0.0042,-0.0048,0.0118
30,8.0,$\beta$30,0.0065,0.0042,-0.0018,0.0148
31,8.0,$\beta$31,0.0037,0.0042,-0.0046,0.012
32,8.0,$\beta$32,0.0013,0.0042,-0.007,0.0096
33,8.0,$\beta$33,0.0024,0.0042,-0.0059,0.0107
34,8.0,$\beta$34,0.0108,0.0043,0.0023,0.0193
35,8.0,$\beta$35,-0.0059,0.0043,-0.0143,0.0025
36,8.0,$\beta$36,-0.0023,0.0042,-0.0106,0.006
37,8.0,$\beta$37,0.0018,0.0042,-0.0065,0.0101
38,8.0,$\beta$38,-0.012,0.0042,-0.0203,-0.0037
39,8.0,$\beta$39,0.0046,0.0042,-0.0037,0.0129
40,8.0,$\beta$40,-0.0081,0.0042,-0.0164,0.0002
41,8.0,$\beta$41,0.0015,0.0042,-0.0068,0.0098
42,8.0,$\beta$42,-0.0065,0.0042,-0.0148,0.0018
43,8.0,$\beta$43,0.0086,0.0043,0.0002,0.017
