,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,1.0209,-0.0,0.6024,0.41,285611.0,256.0,0.3,0.0
1,1.021,-0.0001,0.623,0.3898,285611.0,256.0,0.1,0.0
2,1.0294,-0.0084,0.6462,0.3671,285611.0,256.0,0.042169650342858224,0.0
3,1.0218,-0.0009,0.6742,0.3396,285611.0,256.0,0.01778279410038923,0.0
4,1.0205,0.0004,0.7169,0.2978,285611.0,256.0,0.007498942093324558,0.0
5,1.0206,0.0003,0.7507,0.2647,285611.0,256.0,0.0031622776601683794,0.0
6,1.0209,-0.0,1.0774,-0.0553,285611.0,256.0,0.001333521432163324,0.0
7,1.0207,0.0002,1.938,-0.8984,285611.0,256.0,0.0005623413251903491,0.0
8,1.0212,-0.0003,1.9655,-0.9253,285611.0,256.0,0.00023713737056616554,0.0
9,1.0206,0.0003,1.9698,-0.9294,285611.0,256.0,0.0001,0.0
10,1.0211,-0.0002,0.6025,0.4099,285611.0,256.0,0.3,1e-05
11,1.0212,-0.0003,0.6233,0.3895,285611.0,256.0,0.1,1e-05
12,1.0239,-0.0029,0.6463,0.3669,285611.0,256.0,0.042169650342858224,1e-05
13,1.0351,-0.0139,0.6746,0.3392,285611.0,256.0,0.01778279410038923,1e-05
14,1.0203,0.0006,0.7169,0.2977,285611.0,256.0,0.007498942093324558,1e-05
15,1.0214,-0.0004,0.7506,0.2648,285611.0,256.0,0.0031622776601683794,1e-05
16,1.0206,0.0003,1.076,-0.054,285611.0,256.0,0.001333521432163324,1e-05
17,1.0216,-0.0007,1.9377,-0.8981,285611.0,256.0,0.0005623413251903491,1e-05
18,1.0202,0.0007,1.9655,-0.9253,285611.0,256.0,0.00023713737056616554,1e-05
19,1.0208,0.0001,1.9698,-0.9294,285611.0,256.0,0.0001,1e-05
20,1.0213,-0.0004,0.6025,0.4098,285611.0,256.0,0.3,3.1622776601683795e-05
