,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.7893,0.2268,0.7218,0.293,65.0,16.0,0.5,0.0
1,0.4181,0.5905,0.8239,0.193,65.0,16.0,0.1,0.0
2,0.5561,0.4553,0.8388,0.1784,65.0,16.0,0.046415888336127795,0.0
3,0.8163,0.2005,0.8542,0.1632,65.0,16.0,0.021544346900318846,0.0
4,0.8502,0.1672,0.8806,0.1374,65.0,16.0,0.01,0.0
5,0.8716,0.1462,0.921,0.0979,65.0,16.0,0.004641588833612782,0.0
6,0.893,0.1253,0.9599,0.0598,65.0,16.0,0.0021544346900318843,0.0
7,0.9849,0.0353,0.9894,0.0309,65.0,16.0,0.001,0.0
8,0.934,0.0851,1.0133,0.0074,65.0,16.0,0.0004641588833612782,0.0
9,1.0136,0.0072,1.0307,-0.0096,65.0,16.0,0.00021544346900318845,0.0
10,0.9972,0.0233,1.0413,-0.02,65.0,16.0,0.0001,0.0
11,0.4287,0.5801,0.7218,0.2929,65.0,16.0,0.5,1e-05
12,0.462,0.5474,0.8239,0.193,65.0,16.0,0.1,1e-05
13,0.6193,0.3934,0.8388,0.1784,65.0,16.0,0.046415888336127795,1e-05
14,0.8626,0.155,0.8543,0.1632,65.0,16.0,0.021544346900318846,1e-05
15,0.8707,0.1471,0.8806,0.1374,65.0,16.0,0.01,1e-05
16,0.8742,0.1437,0.921,0.0978,65.0,16.0,0.004641588833612782,1e-05
17,0.8752,0.1427,0.9599,0.0598,65.0,16.0,0.0021544346900318843,1e-05
18,0.9315,0.0875,0.9894,0.0309,65.0,16.0,0.001,1e-05
19,0.9957,0.0247,1.0133,0.0075,65.0,16.0,0.0004641588833612782,1e-05
20,0.9117,0.107,1.0307,-0.0096,65.0,16.0,0.00021544346900318845,1e-05
21,1.1623,-0.1385,1.0413,-0.02,65.0,16.0,0.0001,1e-05
22,0.9582,0.0614,0.7219,0.2929,65.0,16.0,0.5,2.782559402207126e-05
23,0.4452,0.5639,0.8238,0.193,65.0,16.0,0.1,2.782559402207126e-05
24,0.642,0.3711,0.8388,0.1784,65.0,16.0,0.046415888336127795,2.782559402207126e-05
25,0.8215,0.1953,0.8543,0.1632,65.0,16.0,0.021544346900318846,2.782559402207126e-05
26,0.8703,0.1475,0.8807,0.1373,65.0,16.0,0.01,2.782559402207126e-05
27,0.8691,0.1487,0.9211,0.0978,65.0,16.0,0.004641588833612782,2.782559402207126e-05
28,0.8938,0.1245,0.9599,0.0597,65.0,16.0,0.0021544346900318843,2.782559402207126e-05
29,0.9265,0.0925,0.9894,0.0309,65.0,16.0,0.001,2.782559402207126e-05
30,0.9972,0.0233,1.0132,0.0075,65.0,16.0,0.0004641588833612782,2.782559402207126e-05
31,0.992,0.0284,1.0306,-0.0095,65.0,16.0,0.00021544346900318845,2.782559402207126e-05
32,1.028,-0.0069,1.0413,-0.02,65.0,16.0,0.0001,2.782559402207126e-05
33,0.7395,0.2756,0.7222,0.2926,65.0,16.0,0.5,7.742636826811278e-05
34,0.4712,0.5384,0.8237,0.1931,65.0,16.0,0.1,7.742636826811278e-05
35,0.6765,0.3374,0.8388,0.1784,65.0,16.0,0.046415888336127795,7.742636826811278e-05
36,0.7988,0.2176,0.8544,0.1631,65.0,16.0,0.021544346900318846,7.742636826811278e-05
37,0.8507,0.1668,0.8809,0.1371,65.0,16.0,0.01,7.742636826811278e-05
38,0.8753,0.1426,0.9214,0.0975,65.0,16.0,0.004641588833612782,7.742636826811278e-05
39,0.8913,0.1269,0.96,0.0596,65.0,16.0,0.0021544346900318843,7.742636826811278e-05
40,0.8984,0.12,0.9893,0.031,65.0,16.0,0.001,7.742636826811278e-05
41,0.9932,0.0272,1.0131,0.0076,65.0,16.0,0.0004641588833612782,7.742636826811278e-05
42,1.0236,-0.0026,1.0305,-0.0094,65.0,16.0,0.00021544346900318845,7.742636826811278e-05
43,0.9794,0.0407,1.0412,-0.0199,65.0,16.0,0.0001,7.742636826811278e-05
44,0.7882,0.228,0.7229,0.2919,65.0,16.0,0.5,0.00021544346900318823
45,0.4668,0.5428,0.8236,0.1932,65.0,16.0,0.1,0.00021544346900318823
46,0.6246,0.3882,0.8389,0.1782,65.0,16.0,0.046415888336127795,0.00021544346900318823
47,0.8623,0.1554,0.8548,0.1627,65.0,16.0,0.021544346900318846,0.00021544346900318823
48,0.8618,0.1559,0.8816,0.1365,65.0,16.0,0.01,0.00021544346900318823
49,0.877,0.141,0.9221,0.0968,65.0,16.0,0.004641588833612782,0.00021544346900318823
50,0.8877,0.1305,0.9603,0.0594,65.0,16.0,0.0021544346900318843,0.00021544346900318823
51,0.9297,0.0894,0.9891,0.0312,65.0,16.0,0.001,0.00021544346900318823
52,1.0723,-0.0503,1.0127,0.008,65.0,16.0,0.0004641588833612782,0.00021544346900318823
53,1.0076,0.013,1.0302,-0.0091,65.0,16.0,0.00021544346900318845,0.00021544346900318823
54,1.0354,-0.0142,1.041,-0.0197,65.0,16.0,0.0001,0.00021544346900318823
55,0.777,0.2389,0.7257,0.2892,65.0,16.0,0.5,0.0005994842503189409
56,0.469,0.5406,0.8241,0.1928,65.0,16.0,0.1,0.0005994842503189409
57,0.6496,0.3637,0.8399,0.1773,65.0,16.0,0.046415888336127795,0.0005994842503189409
58,0.8213,0.1955,0.8562,0.1613,65.0,16.0,0.021544346900318846,0.0005994842503189409
59,0.8428,0.1745,0.8836,0.1345,65.0,16.0,0.01,0.0005994842503189409
60,0.8671,0.1507,0.9241,0.0948,65.0,16.0,0.004641588833612782,0.0005994842503189409
61,0.8945,0.1238,0.9611,0.0586,65.0,16.0,0.0021544346900318843,0.0005994842503189409
62,0.8936,0.1247,0.9886,0.0316,65.0,16.0,0.001,0.0005994842503189409
63,0.962,0.0577,1.0118,0.0089,65.0,16.0,0.0004641588833612782,0.0005994842503189409
64,1.0828,-0.0606,1.0294,-0.0084,65.0,16.0,0.00021544346900318845,0.0005994842503189409
65,1.0127,0.008,1.0405,-0.0192,65.0,16.0,0.0001,0.0005994842503189409
66,0.7567,0.2588,0.7393,0.2759,65.0,16.0,0.5,0.0016681005372000592
67,0.4678,0.5418,0.8302,0.1868,65.0,16.0,0.1,0.0016681005372000592
68,0.606,0.4064,0.8459,0.1714,65.0,16.0,0.046415888336127795,0.0016681005372000592
69,0.7933,0.2229,0.8628,0.1549,65.0,16.0,0.021544346900318846,0.0016681005372000592
70,0.8298,0.1872,0.8908,0.1275,65.0,16.0,0.01,0.0016681005372000592
71,0.8734,0.1445,0.9306,0.0884,65.0,16.0,0.004641588833612782,0.0016681005372000592
72,0.893,0.1253,0.9637,0.056,65.0,16.0,0.0021544346900318843,0.0016681005372000592
73,0.9549,0.0646,0.9879,0.0324,65.0,16.0,0.001,0.0016681005372000592
74,0.8841,0.134,1.0095,0.0111,65.0,16.0,0.0004641588833612782,0.0016681005372000592
75,1.0072,0.0134,1.0274,-0.0063,65.0,16.0,0.00021544346900318845,0.0016681005372000592
76,0.9969,0.0235,1.0392,-0.0179,65.0,16.0,0.0001,0.0016681005372000592
77,0.9238,0.0951,0.8026,0.2138,65.0,16.0,0.5,0.004641588833612777
78,0.5533,0.458,0.8596,0.158,65.0,16.0,0.1,0.004641588833612777
79,0.6724,0.3413,0.8723,0.1455,65.0,16.0,0.046415888336127795,0.004641588833612777
80,0.8139,0.2027,0.8879,0.1303,65.0,16.0,0.021544346900318846,0.004641588833612777
81,0.8482,0.1692,0.9143,0.1044,65.0,16.0,0.01,0.004641588833612777
82,0.8703,0.1476,0.9485,0.0709,65.0,16.0,0.004641588833612782,0.004641588833612777
83,0.8886,0.1296,0.9716,0.0483,65.0,16.0,0.0021544346900318843,0.004641588833612777
84,0.9257,0.0932,0.988,0.0322,65.0,16.0,0.001,0.004641588833612777
85,1.0679,-0.046,1.0053,0.0153,65.0,16.0,0.0004641588833612782,0.004641588833612777
86,0.9279,0.0911,1.0225,-0.0016,65.0,16.0,0.00021544346900318845,0.004641588833612777
87,1.1035,-0.0809,1.0358,-0.0146,65.0,16.0,0.0001,0.004641588833612777
88,0.606,0.4064,0.903,0.1155,65.0,16.0,0.5,0.012915496650148827
89,0.6551,0.3583,0.9203,0.0985,65.0,16.0,0.1,0.012915496650148827
90,0.7504,0.265,0.928,0.091,65.0,16.0,0.046415888336127795,0.012915496650148827
91,0.8465,0.1708,0.9399,0.0794,65.0,16.0,0.021544346900318846,0.012915496650148827
92,0.8728,0.1451,0.9602,0.0595,65.0,16.0,0.01,0.012915496650148827
93,0.873,0.1449,0.9787,0.0414,65.0,16.0,0.004641588833612782,0.012915496650148827
94,0.8821,0.136,0.9872,0.033,65.0,16.0,0.0021544346900318843,0.012915496650148827
95,0.8994,0.119,0.9929,0.0274,65.0,16.0,0.001,0.012915496650148827
96,0.9146,0.1041,1.0012,0.0193,65.0,16.0,0.0004641588833612782,0.012915496650148827
97,1.0418,-0.0205,1.0142,0.0066,65.0,16.0,0.00021544346900318845,0.012915496650148827
98,1.0928,-0.0704,1.0283,-0.0072,65.0,16.0,0.0001,0.012915496650148827
99,0.6865,0.3276,0.9701,0.0498,65.0,16.0,0.5,0.03593813663804626
100,0.7516,0.2638,0.9755,0.0445,65.0,16.0,0.1,0.03593813663804626
101,0.8376,0.1795,0.9804,0.0397,65.0,16.0,0.046415888336127795,0.03593813663804626
102,0.8691,0.1487,0.9891,0.0312,65.0,16.0,0.021544346900318846,0.03593813663804626
103,0.8752,0.1427,0.9988,0.0217,65.0,16.0,0.01,0.03593813663804626
104,0.8823,0.1358,1.0027,0.0179,65.0,16.0,0.004641588833612782,0.03593813663804626
105,0.8891,0.1291,1.0032,0.0174,65.0,16.0,0.0021544346900318843,0.03593813663804626
106,0.9211,0.0978,1.0026,0.018,65.0,16.0,0.001,0.03593813663804626
107,1.068,-0.0462,1.0029,0.0177,65.0,16.0,0.0004641588833612782,0.03593813663804626
108,1.1334,-0.1102,1.0071,0.0135,65.0,16.0,0.00021544346900318845,0.03593813663804626
109,1.119,-0.096,1.0169,0.0039,65.0,16.0,0.0001,0.03593813663804626
110,1.021,-0.0001,1.0032,0.0174,65.0,16.0,0.5,0.1
111,0.8644,0.1533,1.0049,0.0157,65.0,16.0,0.1,0.1
112,0.8704,0.1474,1.0086,0.012,65.0,16.0,0.046415888336127795,0.1
113,0.8858,0.1323,1.0125,0.0082,65.0,16.0,0.021544346900318846,0.1
114,0.891,0.1272,1.0138,0.0069,65.0,16.0,0.01,0.1
115,0.8963,0.122,1.0137,0.007,65.0,16.0,0.004641588833612782,0.1
116,0.8972,0.1212,1.0128,0.008,65.0,16.0,0.0021544346900318843,0.1
117,0.9599,0.0598,1.0111,0.0096,65.0,16.0,0.001,0.1
118,1.0355,-0.0143,1.009,0.0117,65.0,16.0,0.0004641588833612782,0.1
119,1.026,-0.005,1.0075,0.0132,65.0,16.0,0.00021544346900318845,0.1
120,0.9924,0.0279,1.0091,0.0116,65.0,16.0,0.0001,0.1
