,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.6137,0.3989,1.0212,-0.0003,1025.0,256.0,0.5,0.0
1,0.3092,0.6972,1.0212,-0.0003,1025.0,256.0,0.1,0.0
2,0.3165,0.69,1.0212,-0.0003,1025.0,256.0,0.042169650342858224,0.0
3,0.3814,0.6264,1.0212,-0.0003,1025.0,256.0,0.01778279410038923,0.0
4,0.4704,0.5392,1.0212,-0.0003,1025.0,256.0,0.007498942093324558,0.0
5,0.5431,0.468,1.0152,0.0056,1025.0,256.0,0.0031622776601683794,0.0
6,0.6366,0.3765,1.0168,0.004,1025.0,256.0,0.001333521432163324,0.0
7,0.7267,0.2882,1.0176,0.0033,1025.0,256.0,0.0005623413251903491,0.0
8,0.876,0.142,1.0181,0.0028,1025.0,256.0,0.00023713737056616554,0.0
9,0.9026,0.1159,1.0184,0.0025,1025.0,256.0,0.0001,0.0
10,0.7391,0.276,1.0212,-0.0003,1025.0,256.0,0.5,1e-05
11,0.3221,0.6845,1.0212,-0.0003,1025.0,256.0,0.1,1e-05
12,0.3149,0.6915,1.0212,-0.0003,1025.0,256.0,0.042169650342858224,1e-05
13,0.3859,0.622,1.0212,-0.0003,1025.0,256.0,0.01778279410038923,1e-05
14,0.4657,0.5439,1.0212,-0.0003,1025.0,256.0,0.007498942093324558,1e-05
15,0.5675,0.4441,1.0152,0.0056,1025.0,256.0,0.0031622776601683794,1e-05
16,0.6421,0.3711,1.0168,0.004,1025.0,256.0,0.001333521432163324,1e-05
17,0.7275,0.2874,1.0176,0.0032,1025.0,256.0,0.0005623413251903491,1e-05
18,0.8245,0.1923,1.0181,0.0028,1025.0,256.0,0.00023713737056616554,1e-05
19,0.9175,0.1013,1.0184,0.0025,1025.0,256.0,0.0001,1e-05
20,1.268,-0.242,1.0212,-0.0003,1025.0,256.0,0.5,3.1622776601683795e-05
21,0.3195,0.687,1.0212,-0.0003,1025.0,256.0,0.1,3.1622776601683795e-05
