,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
0,0.5158,0.4948,0.6307,0.3822,161.0,40.0,0.3,0.0
1,0.2959,0.7102,0.6585,0.355,161.0,40.0,0.1,0.0
2,0.3183,0.6882,0.6471,0.3662,161.0,40.0,0.042169650342858224,0.0
3,0.3987,0.6095,0.656,0.3575,161.0,40.0,0.01778279410038923,0.0
4,0.5048,0.5056,1.0188,0.002,161.0,40.0,0.007498942093324558,0.0
5,0.5425,0.4686,1.0268,-0.0058,161.0,40.0,0.0031622776601683794,0.0
6,0.6328,0.3802,1.0303,-0.0092,161.0,40.0,0.001333521432163324,0.0
7,0.7214,0.2934,1.0318,-0.0107,161.0,40.0,0.0005623413251903491,0.0
8,0.7798,0.2362,1.0324,-0.0113,161.0,40.0,0.00023713737056616554,0.0
9,1.0448,-0.0234,1.0327,-0.0115,161.0,40.0,0.0001,0.0
10,0.5177,0.4929,0.6277,0.3852,161.0,40.0,0.3,1e-05
11,0.298,0.7081,0.6614,0.3522,161.0,40.0,0.1,1e-05
12,0.3234,0.6832,0.6471,0.3661,161.0,40.0,0.042169650342858224,1e-05
13,0.4066,0.6017,0.656,0.3575,161.0,40.0,0.01778279410038923,1e-05
14,0.4766,0.5332,1.0188,0.002,161.0,40.0,0.007498942093324558,1e-05
15,0.6029,0.4095,1.0268,-0.0058,161.0,40.0,0.0031622776601683794,1e-05
16,0.6444,0.3688,1.0303,-0.0092,161.0,40.0,0.001333521432163324,1e-05
